image,usable,task_type,instruction_text,order_mode,target1,target2,target3,note
test116.png,yes,icon,select in this order,given_order,摩天轮,指南针,萝卜（不清楚）,
test117.png,yes,icon,select in this order,given_order,摄像头,排球,举重,
test118.png,yes,icon,select in this order,given_order,不清楚,墨水,闹钟,
test119.png,yes,icon,select in this order,given_order,蛇,叶子,鼓,
test120.png,yes,icon,select in this order,given_order,不清楚,收音机（音乐播放器）,气球,
test121.png,yes,icon,select in this order,given_order,别墅,闹钟,保龄球瓶,
test122.png,yes,icon,select in this order,given_order,钱袋,生化（辐射）标识,项链,
test123.png,yes,icon,select in this order,given_order,面条,蜗牛,摄像头,
test124.png,yes,icon,select in this order,given_order,花,萝卜,吊灯,
test125.png,yes,icon,select in this order,given_order,蝗虫,自行车,芭菲,
test126.png,yes,icon,select in this order,given_order,摄像（射击）,挥手（禁止）,迪斯科球（不清楚）,
test127.png,yes,icon,select in this order,given_order,瓢虫,蝗虫,鼓,
test128.png,yes,icon,select in this order,given_order,香烟,钥匙（钥匙扣）,自行车,
test129.png,yes,icon,select in this order,given_order,温度计,不清楚,垃圾桶,
test130.png,yes,icon,select in this order,given_order,摄像头,轮子,牙齿,
test131.png,yes,icon,select in this order,given_order,花束（小花）,不清楚,浴缸,
test132.png,yes,icon,select in this order,given_order,墓碑,冰棒,蝴蝶,
test133.png,yes,icon,select in this order,given_order,保龄球瓶,铃铛,猫头鹰,
test134.png,yes,icon,select in this order,given_order,收纳柜,大炮,别墅,
test135.png,yes,char,请按语序依次点击,semantic_order,管,理,学,
test136.png,yes,char,请按语序依次点击,semantic_order,数,据,线,
test137.png,yes,char,请按语序依次点击,semantic_order,火,车,站,
test138.png,yes,char,请按语序依次点击,semantic_order,很,简,单,
test139.png,yes,char,请按语序依次点击,semantic_order,未,来,的,
test140.png,yes,char,请按语序依次点击,semantic_order,说,明,书,
test141.png,yes,char,请按语序依次点击,semantic_order,云,南,省,
test142.png,yes,char,请按语序依次点击,semantic_order,管,理,者,
test143.png,yes,char,请按语序依次点击,semantic_order,有,计,划,
test144.png,yes,char,请按语序依次点击,semantic_order,普,通,人,
test145.png,yes,char,请按语序依次点击,semantic_order,反,过,来,
test146.png,yes,char,请按语序依次点击,semantic_order,自,然,的,
test147.png,yes,char,请按语序依次点击,semantic_order,阅,览,室,
test148.png,yes,char,请按语序依次点击,semantic_order,博,士,后,
test149.png,yes,char,请按语序依次点击,semantic_order,排,行,榜,
test150.png,yes,char,请按语序依次点击,semantic_order,可,怕,的,
test151.png,yes,char,请按语序依次点击,semantic_order,竞,争,力,
test152.png,yes,char,请按语序依次点击,semantic_order,安,全,的,
test153.png,yes,char,请按语序依次点击,semantic_order,多,方,面,
test154.png,yes,char,请按语序依次点击,semantic_order,命,中,率,
test155.png,yes,char,请按语序依次点击,semantic_order,华,盛,顿,
test156.png,yes,char,请按语序依次点击,semantic_order,管,理,学,
test157.png,yes,char,请按语序依次点击,semantic_order,合,作,社,
test158.png,yes,char,请按语序依次点击,semantic_order,皇,太,后,
test159.png,yes,char,请按语序依次点击,semantic_order,技,术,的,
test160.png,yes,char,请按语序依次点击,semantic_order,发,明,了,
test161.png,yes,char,请按语序依次点击,semantic_order,身,份,证,
test162.png,yes,char,请按语序依次点击,semantic_order,抵,抗,力,
test163.png,yes,char,请按语序依次点击,semantic_order,停,车,场,
test164.png,yes,char,请按语序依次点击,semantic_order,新,西,兰,
test165.png,yes,char,请按语序依次点击,semantic_order,博,物,馆,
test166.png,yes,char,请按语序依次点击,semantic_order,有,计,划,
test167.png,yes,char,请按语序依次点击,semantic_order,播,放,器,
test168.png,yes,char,请在下图依次点击,given_order,燕,喜,堂,
test169.png,yes,char,请在下图依次点击,given_order,馏,鱼,片,
test170.png,yes,char,请在下图依次点击,given_order,韭,菜,包,
test171.png,yes,char,请在下图依次点击,given_order,紫,红,草,
test172.png,yes,char,请在下图依次点击,given_order,护,色,剂,
test173.png,yes,char,请在下图依次点击,given_order,烤,鱼,片,
test174.png,yes,char,请在下图依次点击,given_order,味,之,臾,
test175.png,yes,char,请在下图依次点击,given_order,温,泉,鸡,
test176.png,yes,char,请在下图依次点击,given_order,草,香,园,
test177.png,yes,char,请在下图依次点击,given_order,红,松,宝,
test178.png,yes,char,请在下图依次点击,given_order,菜,烩,面,
test179.png,yes,char,请在下图依次点击,given_order,刷,把,头,
test180.png,yes,char,请在下图依次点击,given_order,炒,米,粉,
test181.png,yes,char,请在下图依次点击,given_order,西,兰,花,
test182.png,yes,char,请在下图依次点击,given_order,秦,川,牌,
test183.png,yes,char,请在下图依次点击,given_order,甜,味,剂,
test184.png,yes,char,请在下图依次点击,given_order,九,黄,饼,
test185.png,yes,char,请在下图依次点击,given_order,风,车,酥,
test186.png,yes,char,请在下图依次点击,given_order,炒,米,糖,
test187.png,yes,char,请在下图依次点击,given_order,鸭,掌,包,
test188.png,yes,char,请在下图依次点击,given_order,大,卤,面,
test189.png,yes,char,请在下图依次点击,given_order,糖,心,蛋,
test190.png,yes,char,请在下图依次点击,given_order,建,新,园,
test191.png,yes,char,请在下图依次点击,given_order,杏,皮,水,
test192.png,yes,char,请在下图依次点击,given_order,青,木,瓜,
test193.png,yes,char,请在下图依次点击,given_order,大,团,圆,
test194.png,yes,char,请在下图依次点击,given_order,豆,腐,脑,
test195.png,yes,char,请在下图依次点击,given_order,南,煎,肝,
test196.png,yes,char,请在下图依次点击,given_order,冰,之,恋,
test197.png,yes,char,请在下图依次点击,given_order,辣,白,菜,
test198.png,yes,char,请在下图依次点击,given_order,粉,蒸,肉,
test199.png,yes,char,请在下图依次点击,given_order,烩,麻,食,
test200.png,yes,char,请在下图依次点击,given_order,麦,打,滚,
